
                                Name                                           Version             Type   
  io.openliberty.jakarta.xmlBinding.4.0                             1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.xmlWS.4.0                                  1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakartaee.platform.v10                             1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakartaee.platform.v9                              1.0.88.cl240420240408-2000     maven  
  io.openliberty.java11.internal                                    1.0.88.cl240420240408-2000     maven  
  io.openliberty.jaxrs30                                            1.0.88.cl240420240408-2000     maven  
  io.openliberty.jcache.internal                                    1.0.88.cl240420240408-2000     maven  
  io.openliberty.microprofile.config.internal.common                1.0.88.cl240420240408-2000     maven  
  io.openliberty.microprofile.config.internal.serverxml             1.0.88.cl240420240408-2000     maven  
  io.openliberty.microprofile.health.3.1.internal.jakarta           1.0.88.cl240420240408-2000     maven  
  io.openliberty.microprofile.metrics.5.0.monitor.internal          1.0.88.cl240420240408-2000     maven  
  io.openliberty.microprofile.metrics.5.0.private.internal          1.0.88.cl240420240408-2000     maven  
  io.openliberty.microprofile.metrics.5.0.public.internal           1.0.88.cl240420240408-2000     maven  
  io.openliberty.microprofile.metrics.5.1.internal                  1.0.88.cl240420240408-2000     maven  
  io.openliberty.microprofile.openapi.2.0.internal.jakarta          1.0.88.cl240420240408-2000     maven  
  io.openliberty.microprofile.openapi.2.0.internal.servlet.jakarta  1.0.88.cl240420240408-2000     maven  
  io.openliberty.microprofile.openapi.3.1.internal.services         1.0.88.cl240420240408-2000     maven  
  io.openliberty.microprofile.openapi.internal.common               1.0.88.cl240420240408-2000     maven  
  io.openliberty.netty.internal                                     1.0.88.cl240420240408-2000     maven  
  io.openliberty.netty.internal.tls.impl                            1.0.88.cl240420240408-2000     maven  
  io.openliberty.org.apache.commons.codec                           1.16.88.cl240420240408-2000    maven  
  io.openliberty.org.apache.commons.logging                         1.2.88.cl240420240408-2000     maven  
  io.openliberty.org.eclipse.angus.activation                       1.0.88.cl240420240408-2000     maven  
  io.openliberty.org.eclipse.microprofile.config.3.1                1.0.88.cl240420240408-2000     maven  
  io.openliberty.org.eclipse.microprofile.health.4.0                1.0.88.cl240420240408-2000     maven  
  io.openliberty.org.eclipse.microprofile.metrics.5.1               1.0.88.cl240420240408-2000     maven  
  io.openliberty.org.eclipse.microprofile.openapi.3.1               1.0.88.cl240420240408-2000     maven  
  io.openliberty.org.eclipse.parsson.1.1                            1.0.88.cl240420240408-2000     maven  
  io.openliberty.org.eclipse.persistence-3.1                        1.0.88.cl240420240408-2000     maven  
  io.openliberty.org.eclipse.yasson.3.0                             1.0.88.cl240420240408-2000     maven  
  io.openliberty.org.glassfish.hk2.osgi-resource-locator            1.0.88.cl240420240408-2000     maven  
  io.openliberty.org.jboss.classfilewriter.1.3                      1.3.88.cl240420240408-2000     maven  
  io.openliberty.org.jboss.logging35                                1.0.88.cl240420240408-2000     maven  
  io.openliberty.org.jboss.resteasy.cdi.ee10                        1.0.88.cl240420240408-2000     maven  
  io.openliberty.org.jboss.resteasy.common.ee10                     1.0.88.cl240420240408-2000     maven  
  io.openliberty.org.jboss.resteasy.server.ee10                     1.0.88.cl240420240408-2000     maven  
  io.openliberty.org.jboss.weld5                                    1.0.88.cl240420240408-2000     maven  
  io.openliberty.org.jboss.weld5.se                                 1.0.88.cl240420240408-2000     maven  
